Município;Posto;Ano;Jan;Fev;Mar;Abr;Mai;Jun;Jul;Ago;Set;Out;Nov;Dez;Total
Alagoa Grande PCO;;2024;51;89.8;24;-;3.5;-;-;-;77;33.9;121.5;42;442.7
Alagoa Nova PCO;;2024;-;154;1.2;-;-;-;-;-;-;123.5;85.1;23;386.8
Alagoa Nova/Teste 2 [am] PCO;;2024;-;-;-;-;-;-;-;-;85;-;-;-;85
Alagoa Nova/Teste [am] PCO;;2024;-;-;-;-;-;-;-;-;-;25.6;75;-;100.6
Alagoa Nova/teste app [am] PCO;;2024;-;-;-;-;-;-;-;-;-;-;-;-;0
AreiaPCD;;2024;17.2;21.4;28.2;27.6;13.2;53.8;32.2;5.4;6.4;2;1;0.8;209.2
Areia PCO;;2024;-;-;4.3;-;-;-;-;-;-;10;198;-;212.3
BananeirasPCD;;2024;10.8;25.4;52.6;30.2;11.6;25;25;4.4;4.8;4.8;0.4;0.2;195.2
Bananeiras PCO;;2024;-;-;-;-;-;-;-;-;-;66.6;139;3;208.6
Bananeiras/UFPBPCD;;2024;-;-;-;25.6;38;27.2;27.2;-;-;-;-;-;118
Bananeiras/Vila Maia PCO;;2024;-;18;-;-;-;-;-;-;-;-;-;-;18
Borborema PCO;;2024;-;-;-;-;-;-;-;-;-;70;-;-;70
Boa Vista PCO;;2024;-;-;-;13.2;-;-;-;-;-;25;200;-;238.2
Campina Grande/Campina Grande-AESA PCO;;2024;-;-;2.9;-;-;-;-;-;-;-;-;-;2.9
Campina Grande/EMBRAPA PCO;;2024;-;-;63.9;4.8;63.3;10;-;4.6;-;-;-;-;146.6
Campina Grande/EMBRAPAPCD;;2024;11.2;15.2;16.6;42.4;26.4;18.4;11;1.2;5.2;1.2;0;1.8;150.6
Campina Grande/INSAPCD;;2024;3;5;13;18.4;15;14.2;10.6;2;6.8;0;0.4;0.8;89.2
Campina Grande/MirantePCD;;2024;7.4;14;-;4.2;15.4;21.6;18;1.2;8;1.2;1;0.8;92.8
Campina Grande/Santa Terezinha PCO;;2024;-;-;-;71.7;-;-;-;-;-;-;-;-;71.7
Campina Grande/São José da Mata PCO;;2024;-;-;17.3;-;-;-;-;-;-;-;-;-;17.3
Fagundes PCO;;2024;-;-;-;-;-;-;-;-;-;-;-;157;157
Lagoa Seca/EMEPA PCO;;2024;-;-;-;-;-;-;-;-;-;30;-;-;30
Lagoa SecaPCD;;2024;-;0;-;46.8;26;66.8;38.8;8.8;9.2;0;0;0.4;196.8
QueimadasPCD;;2024;21;7.8;24.4;29.6;10.8;20.6;9.2;2.4;13.2;0;0;0.2;139.2
Serra RedondaPCD;;2024;18.8;17;13.4;28.8;15.2;38.4;15.4;3.8;6;2;1;0.6;160.4
Serra Redonda PCO;;2024;-;-;-;-;-;-;-;-;-;33.3;-;-;33.3
Algodão de Jandaíra PCO;;2024;-;-;7.6;-;-;-;-;-;140;155;50;26;378.6
Algodão de JandaíraPCD;;2024;11.6;-;-;-;-;4.6;11.2;0.6;0.8;0;0;0.6;29.4
Arara PCO;;2024;-;-;1.2;-;-;-;-;-;-;50;112;-;163.2
Barra de Santa RosaPCD;;2024;-;-;-;-;-;7.2;6.4;0.2;0;0;0;2.6;16.4
